spot,location,spectra,mineralogy,C_concentration_apparent,O_concentration_apparent,Na_concentration_apparent,Mg_concentration_apparent,Al_concentration_apparent,Si_concentration_apparent,S_concentration_apparent,K_concentration_apparent,Ca_concentration_apparent,Fe_concentration_apparent,Ag_concentration_apparent,P_concentration_apparent,Ti_concentration_apparent,F_concentration_apparent,Cl_concentration_apparent,Zr_concentration_apparent,Ar_concentration_apparent,Y_concentration_apparent,Mn_concentration_apparent,Th_concentration_apparent,Zn_concentration_apparent,C_wtper,O_wtper,Na_wtper,Mg_wtper,Al_wtper,Si_wtper,S_wtper,K_wtper,Ca_wtper,Fe_wtper,Ag_wtper,P_wtper,Ti_wtper,F_wtper,Cl_wtper,Zr_wtper,Ar_wtper,Y_wtper,Mn_wtper,Th_wtper,Zn_wtper
10,point,199,rock,3.51,1.57,0.03,0.01,0.05,0.09,3.2,0.03,0.2,1.53,0.03,0,0,0,0,0,0,0,0,0,0,58.98,7.47,0.11,0.07,0.25,0.5,19.28,0.18,1.21,11.68,0.27,0,0,0,0,0,0,0,0,0,0
10,point,200,rock,2.9,2.04,0,0.03,0.13,0.29,2.16,0.04,0.55,0.05,0,0.21,0,0,0,0,0,0,0,0,0,60.53,12.93,0,0.2,0.89,2.07,17.08,0.28,4.45,0.53,0,1.04,0,0,0,0,0,0,0,0,0
10,point,201,rock,7.17,3.86,0.03,0.07,0.66,0.96,1.68,0.12,0.29,0.13,0.03,0,0.02,0,0,0,0,0,0,0,0,68.95,13.62,0.07,0.25,2.59,3.91,7.66,0.53,1.35,0.75,0.2,0,0.12,0,0,0,0,0,0,0,0
10,point,203,rock,0.86,4.83,0.03,0.09,1.37,2.05,5.1,0.27,1.15,4.23,0,0.34,0.04,0.14,0,0,0,0,0,0,0,15.34,15.64,0.08,0.37,5.59,8.56,23.33,1.19,5.24,23.19,0,1.03,0.2,0.24,0,0,0,0,0,0,0
10,point,204,rock,1.08,1.07,0,0.09,1,1.73,0.6,0.41,0.2,0.28,0.19,0,0.04,0,0,0,0,0,0,0,0,38.68,9.84,0,0.86,10,18.52,7.23,4.81,2.45,4.12,2.94,0,0.57,0,0,0,0,0,0,0,0
10,point,205,mz84_seds,1.95,2.67,0.02,0.07,0.75,1.3,1.31,0.16,0.25,0.18,0,0,0.03,0,0,0,0,0,0,0,0,48.05,17.65,0.11,0.51,5.66,10.35,11.64,1.42,2.24,2.02,0,0,0.35,0,0,0,0,0,0,0,0
10,point,206,rock,1.09,7.47,0,0.26,1.88,2.62,0.29,0.29,2.27,1.12,0.05,1.15,0,0,0,0,0,0,0,0,0,17.58,29.83,0,1.24,9.28,13.61,1.65,1.58,12.8,7.73,0.38,4.31,0,0,0,0,0,0,0,0,0
10,point,207,rock,0.37,5.94,0.04,0.25,3.02,4.42,0.21,0.58,0.27,0.81,0.05,0,0.07,0,0,0,0,0,0,0,0,9.14,27.04,0.18,1.4,18.06,28.79,1.56,3.98,1.87,6.92,0.43,0,0.62,0,0,0,0,0,0,0,0
10,point,208,rock,1.21,11.11,0,0.18,3.54,4.82,0.5,0.72,0.54,0.39,0,0.18,0,0,0,0,0,0,0,0,0,17.86,34.4,0,0.68,14.47,21.25,2.45,3.4,2.6,2.3,0,0.6,0,0,0,0,0,0,0,0,0
10,point,209,rock,3.55,2.16,0,0.03,0.1,0.11,2.68,0.03,0.36,0.05,0.11,0,0,0,0,0,0,0,0,0,0,63.83,12.04,0,0.15,0.6,0.7,18.47,0.24,2.54,0.43,0.99,0,0,0,0,0,0,0,0,0,0
