spot,location,spectra,mineralogy,C_concentration_apparent,O_concentration_apparent,Na_concentration_apparent,Mg_concentration_apparent,Al_concentration_apparent,Si_concentration_apparent,P_concentration_apparent,S_concentration_apparent,K_concentration_apparent,Ca_concentration_apparent,Ti_concentration_apparent,Fe_concentration_apparent,Ag_concentration_apparent,Zr_concentration_apparent,W_concentration_apparent,Mo_concentration_apparent,Mn_concentration_apparent,Ar_concentration_apparent,Ba_concentration_apparent,Cl_concentration_apparent,U_concentration_apparent,F_concentration_apparent,Total:_concentration_apparent,C_wtper,O_wtper,Na_wtper,Mg_wtper,Al_wtper,Si_wtper,P_wtper,S_wtper,K_wtper,Ca_wtper,Ti_wtper,Fe_wtper,Ag_wtper,Zr_wtper,W_wtper,Mo_wtper,Mn_wtper,Ar_wtper,Ba_wtper,Cl_wtper,U_wtper,F_wtper,Total:_wtper
15,point,95,rock,0.76,12.24,0.06,0.47,7.7,11.16,0.1,0.39,1.59,0.52,0.37,1.37,0,0,0,0,0,0,0,0,0,0,0,15.74,34.77,0.1,0.95,14.9,23.89,0.17,0.94,3.26,1.07,0.91,3.29,0,0,0,0,0,0,0,0,0,0,0
15,point,96,rock,13.64,19.25,0.15,0.33,3.81,6.37,0.39,2.6,0.85,1.17,0.38,1.18,0.1,0,0,0,0,0,0,0,0,0,0,52.93,31.45,0.12,0.31,3.34,5.55,0.24,2.45,0.75,1.05,0.41,1.29,0.11,0,0,0,0,0,0,0,0,0,0
15,point,97,rock,3.1,46.07,0.07,0.32,11.74,13.02,0,0.62,0.63,0.43,0.04,0.69,0.06,0,0,0,0,0,0,0,0,0,0,21.24,51.29,0.06,0.33,11.23,13.22,0,0.67,0.61,0.42,0.05,0.8,0.08,0,0,0,0,0,0,0,0,0,0
15,point,98,rock,1.51,13.03,0.06,0.65,5.14,6.82,0,0.87,0.94,3.11,0.13,1.27,0,0,0,0,0,0,0,0,0,0,0,22.33,38.94,0.1,1.35,10.08,13.97,0,1.94,1.82,6.16,0.31,3,0,0,0,0,0,0,0,0,0,0,0
15,point,99,rock,0.03,0.18,0,0.01,0.37,1.06,0,0.3,0.47,0.3,0.06,2.42,0,0.03,0.07,0,0,0,0,0,0,0,0,5.53,4.48,0,0.23,6.82,18.85,0,5.53,7.29,4.76,1.06,42.96,0,0.78,1.73,0,0,0,0,0,0,0,0
15,point,100,rock,0.89,47.69,0,0.12,0.6,30.9,0,0.03,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,9.9,55.66,0,0.14,0.66,33.35,0,0.05,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0
15,point,101,rock,1,28.4,0,0.11,1.35,23.24,0,0.1,0.29,0.13,0,0.34,0.07,0,0,0,0,0,0,0,0,0,0,14.46,49.02,0,0.16,1.93,32.86,0,0.18,0.45,0.19,0,0.6,0.15,0,0,0,0,0,0,0,0,0,0
15,point,102,rock,0.91,5.52,0.03,0.3,4.02,7.27,0,0.86,0.71,0.49,0.04,0.95,0.26,0,0,0,0,0,0,0,0,0,0,26.64,27.1,0.08,0.89,11.51,22.41,0,3.02,2.17,1.51,0.15,3.42,1.1,0,0,0,0,0,0,0,0,0,0
15,point,103,rock,2.99,44.54,0,1.01,9.09,13.14,0,0.89,2.17,0.8,0.07,3.43,0.07,0,0,0,0,0,0,0,0,0,0,19.71,49.59,0,1.04,8.78,13.04,0,0.95,2.05,0.77,0.08,3.89,0.09,0,0,0,0,0,0,0,0,0,0
15,point,104,rock,25.46,10.88,0.16,0.19,1.68,2.04,0,4.34,0.4,0.73,0,0.29,0.08,0,0,0,0,0,0,0,0,0,0,71.03,20.58,0.12,0.16,1.36,1.63,0,3.76,0.33,0.62,0,0.31,0.09,0,0,0,0,0,0,0,0,0,0
15,point,105,rock,0.83,20.52,0.07,0.36,8.21,11.81,0,0.31,1.55,0.53,0.4,1.11,0.07,0,0,0,0,0,0,0,0,0,0,13.2,43.72,0.11,0.63,13.61,21.28,0,0.63,2.67,0.93,0.83,2.25,0.16,0,0,0,0,0,0,0,0,0,0
15,point,106,rock,3,11.01,0.06,0.33,6.22,10.13,0,1.21,1.13,0.78,0.14,1.15,0.05,0.48,0.12,0,0,0,0,0,0,0,0,35.96,29.1,0.08,0.51,9.28,15.99,0,2.16,1.79,1.25,0.26,2.17,0.11,1.09,0.26,0,0,0,0,0,0,0,0
15,point,107,rock,0.1,0.86,0,0.15,2.64,4.21,0.11,0.25,0.9,1.4,0.14,1.48,0,0.01,0,0,0,0,0,0,0,0,0,8.35,11.24,0,1.05,17.17,30.6,0.63,2.12,6.13,9.74,1.11,11.72,0,0.15,0,0,0,0,0,0,0,0,0
15,point,108,rock,15.41,6.02,0.12,0.07,0.26,0.41,0,4.52,0.11,0.42,0,0.16,0.09,0,0,0,0,0,0,0,0,0,0,73.04,18.63,0.13,0.1,0.33,0.51,0,6.12,0.15,0.57,0,0.26,0.16,0,0,0,0,0,0,0,0,0,0
15,point,109,rock,19.45,14.82,0.29,0.24,3.08,4.09,0,3.69,0.54,0.53,0,0.32,0.03,0,0,0,0,0,0,0,0,0,0,63.25,25.82,0.21,0.21,2.55,3.37,0,3.29,0.46,0.46,0,0.34,0.04,0,0,0,0,0,0,0,0,0,0
