spot,location,spectra,mineralogy,C_concentration_apparent,O_concentration_apparent,Na_concentration_apparent,Mg_concentration_apparent,Al_concentration_apparent,Si_concentration_apparent,S_concentration_apparent,K_concentration_apparent,Ca_concentration_apparent,Ti_concentration_apparent,Fe_concentration_apparent,F_concentration_apparent,P_concentration_apparent,Ag_concentration_apparent,Zr_concentration_apparent,Cl_concentration_apparent,Y_concentration_apparent,Ar_concentration_apparent,Zn_concentration_apparent,Element_concentration_apparent,C_wtper,O_wtper,Na_wtper,Mg_wtper,Al_wtper,Si_wtper,S_wtper,K_wtper,Ca_wtper,Ti_wtper,Fe_wtper,F_wtper,P_wtper,Ag_wtper,Zr_wtper,Cl_wtper,Y_wtper,Ar_wtper,Zn_wtper,Element_wtper
16,point,1,rock,2.46,8.22,0.08,0.18,3.09,4.26,0.32,0.68,0.23,0.04,0.43,0,0,0,0,0,0,0,0,0,32.6,26.61,0.22,0.71,12.58,18.64,1.55,3.22,1.11,0.23,2.54,0,0,0,0,0,0,0,0,0
16,point,2,rock,2.14,3.47,0,0.17,1.79,2.97,0.88,0.46,0.39,0.04,0.43,0.1,0,0,0,0,0,0,0,0,40.07,16.46,0,0.88,9.87,17.43,5.81,2.93,2.53,0.33,3.44,0.25,0,0,0,0,0,0,0,0
16,point,3,rock,0.24,0.3,0,0.04,0.5,2.38,0.59,0.19,1.43,0,0.31,0,0.44,0,0,0,0,0,0,0,14.18,3.9,0,0.51,6.34,31.75,9.07,2.72,21.47,0,5.57,0,4.48,0,0,0,0,0,0,0
16,point,4,rock,0.12,2.27,0,0.08,2.06,3.18,0.49,0.43,0.14,0.12,1.15,0,0,0,0,0,0,0,0,0,5.07,16.27,0,0.71,18.78,31.54,5.48,4.5,1.46,1.47,14.73,0,0,0,0,0,0,0,0,0
16,point,5,rock,2.5,1.71,0.03,0.04,0.57,0.86,1.66,0.13,0.44,0.02,0.12,0.06,0.1,0,0,0,0,0,0,0,56.58,11.34,0.16,0.29,4.1,6.44,13.96,1.12,3.76,0.25,1.31,0.18,0.52,0,0,0,0,0,0,0
16,point,6,rock,0.22,3.82,0,0.05,2.06,2.54,0.71,0.17,0.2,0,4.76,0,0,0,0,0,0,0,0,0,5.43,16.39,0,0.29,13.32,17.19,5.16,1.14,1.4,0,39.69,0,0,0,0,0,0,0,0,0
16,point,7,rock,4.19,1.58,0.05,0.05,0.31,0.54,1.89,0.11,0.26,0,0.12,0,0,0,0,0,0,0,0,0,68.96,8.75,0.21,0.26,1.85,3.32,13.03,0.75,1.84,0,1.04,0,0,0,0,0,0,0,0,0
16,point,8,rock,5.62,2.74,0.05,0.09,0.58,0.96,1.66,0.27,0.31,0,0.29,0,0,0.04,0,0,0,0,0,0,66.65,11.4,0.16,0.4,2.67,4.56,8.85,1.42,1.69,0,1.95,0,0,0.26,0,0,0,0,0,0
16,point,9,rock,3.99,1.4,0.04,0.02,0.08,0.1,1.92,0.04,0.4,0,0.13,0.07,0,0,0.32,0,0,0,0,0,68.86,8.31,0.16,0.11,0.48,0.62,13.82,0.32,2.99,0,1.2,0.19,0,0,2.93,0,0,0,0,0
16,point,10,rock,3.59,1.22,0.04,0.03,0.17,0.15,2,0.05,0.47,0,0.15,0.07,0.1,0,0,0,0,0,0,0,68.1,7.7,0.17,0.19,1.12,1,15.42,0.41,3.72,0,1.46,0.21,0.5,0,0,0,0,0,0,0
16,point,11,rock,0.59,3.44,0.04,0.14,3.39,4.11,0.05,0.96,0.1,0,0.44,0,0,0.12,0,0,0,0,0,0,15.81,18.3,0.17,0.85,21.84,29.29,0.36,7.26,0.78,0,4.09,0,0,1.25,0,0,0,0,0,0
16,point,12,rock,0.12,0.83,0,0.26,2.03,2.73,0.05,0.3,0.18,0.03,1.51,0,0,0,0,0.04,0,0,0,0,6.15,6.98,0,2.7,21.99,32.29,0.66,3.69,2.19,0.46,22.32,0,0,0,0,0.57,0,0,0,0
16,point,13,rock,0.31,1.47,0,0.05,1.45,2.08,0.36,0.28,0.24,0.04,1.08,0,0.03,0.08,0,0,0,0,0,0,14.63,13.21,0,0.57,16.18,24.94,4.84,3.54,3.06,0.59,16.69,0,0.29,1.45,0,0,0,0,0,0
16,point,14,rock,0.9,6.98,0,0,0.12,12.38,0,0.03,0.21,0,0.07,0,0,0,0,0,0,0,0,0,17.7,24.11,0,0,0.5,56,0,0.13,1.11,0,0.44,0,0,0,0,0,0,0,0,0
16,point,15,rock,0.42,22.59,0,0,0,15.6,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,5.31,46.14,0,0,0,48.45,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
16,point,16,rock,0.19,3.37,0.03,0.14,2.81,4.07,0.11,0.72,0.22,0.04,0.76,0,0,0.03,0,0,0,0,0,0,6.47,19.97,0.15,1.01,20.96,33.35,1.06,6.22,1.94,0.43,8.07,0,0,0.38,0,0,0,0,0,0
16,point,17,rock,0.03,0.06,0,0,0.02,0.04,0.01,0.06,0.07,0,0.27,0,0,0,0,0,0,0,0,0,13.31,6.98,0,0,2.77,6.19,1.51,9.29,10.39,0,49.56,0,0,0,0,0,0,0,0,0
16,point,18,rock,0.32,4.04,0.03,0.14,2.37,3.37,0.26,0.5,0.97,0.04,0.51,0,0,0,0.39,0,0,0,0,0,9.35,23.57,0.15,0.96,16.55,25.48,2.22,4.03,7.96,0.42,5.02,0,0,0,4.28,0,0,0,0,0
16,point,19,rock,0.52,1.79,0,0.11,1.18,1.82,1.07,0.26,0.3,1.2,0.38,0,0,0,0,0,0,0,0,0,18.84,15.17,0,0.91,10.68,17.4,11.32,2.63,3.05,15.2,4.8,0,0,0,0,0,0,0,0,0
16,point,20,rock,0.25,2.36,0.02,0.13,2.88,4.41,0.21,0.53,0.27,0.08,0.67,0.06,0,0.12,0,0,0,0,0,0,8.71,14.48,0.11,0.92,21.29,36.04,1.94,4.58,2.42,0.8,7.13,0.19,0,1.39,0,0,0,0,0,0
16,point,21,rock,0.16,5.17,0,0.21,3.23,4.63,0.08,0.65,0.72,0.08,0.77,0,0.24,0,0,0,0.08,0,0,0,4.2,24.72,0,1.21,19.55,30.68,0.62,4.51,5.15,0.73,6.61,0,1.2,0,0,0,0.81,0,0,0
16,point,22,rock,1.58,17.05,0.05,0.24,3.95,6.15,0.32,0.59,0.5,0.09,0.55,0.4,0.19,0,0,0,0,0,0,0,17.26,39.17,0.12,0.74,12.55,20.91,1.23,2.17,1.85,0.4,2.51,0.6,0.49,0,0,0,0,0,0,0
16,point,23,rock,4.32,5.53,0.05,0.13,1.16,1.59,1.55,0.18,0.54,0,0.23,0.1,0.11,0.04,0,0,0,0,0,0,52.64,20.57,0.16,0.52,5.02,7.24,7.86,0.91,2.76,0,1.49,0.21,0.35,0.28,0,0,0,0,0,0
16,point,24,rock,1.89,2.88,0.04,0.25,2.35,3.22,0.66,0.36,0.25,0.06,0.75,0,0,0.07,0,0,0,0,0,0,37.18,13.58,0.14,1.32,13.04,19.22,4.42,2.34,1.65,0.47,6.01,0,0,0.63,0,0,0,0,0,0
16,point,25,rock,3.78,1.56,0.04,0.02,0.03,0.05,1.82,0.03,0.3,0,0.07,0,0,0,0.14,0.03,0,0,0,0,70.02,9.95,0.2,0.14,0.18,0.34,14.3,0.22,2.4,0,0.65,0,0,0,1.39,0.22,0,0,0,0
16,point,26,rock,3.65,1.24,0,0.02,0.1,0.14,1.83,0.02,0.37,0,0,0.08,0,0,0.15,0,0,0,0,0,70.31,8.19,0,0.11,0.68,1.01,14.71,0.17,3.05,0,0,0.25,0,0,1.51,0,0,0,0,0
16,point,27,rock,1.27,0.58,0,0,0.04,0.08,1.55,0,0.17,0,0,0,0,0,0,0,0,0,0,0,62.33,7.8,0,0,0.57,1.19,25.16,0,2.95,0,0,0,0,0,0,0,0,0,0,0
16,point,28,rock,4.27,1.51,0,0.03,0.03,0.27,2.38,0,0.36,0,0.04,0,0,0,0,0,0,0,0,0,70.7,8.33,0,0.16,0.19,1.64,16.09,0,2.52,0,0.37,0,0,0,0,0,0,0,0,0
16,point,29,rock,3.45,1.34,0,0.03,0.08,2.72,1.87,0.02,0.36,0,0.05,0.06,0,0.03,0,0,0,0,0,0,61.51,6.88,0,0.18,0.46,15.47,12.16,0.15,2.4,0,0.37,0.16,0,0.28,0,0,0,0,0,0
16,point,30,rock,0.14,0.55,0,0.04,0.88,1.45,0.05,0.64,0.16,0.04,0.74,0,0,0.05,0,0,0,0,0,0,10.04,8.36,0,0.76,15.63,27.72,1.09,12.77,3.22,0.92,18.12,0,0,1.38,0,0,0,0,0,0
16,point,31,rock,0.19,0.78,0.02,0.02,0.76,1.54,0.14,0.45,0.16,0.03,0.44,0,0,0.02,0,0,0,0,0,0,14.54,12.33,0.21,0.41,13.83,30.2,3.01,9.32,3.42,0.71,11.41,0,0,0.61,0,0,0,0,0,0
16,point,32,rock,0.69,7.3,0,0.26,3.16,5.06,0.23,0.75,0.42,0.06,0.79,0,0,0,0,0,0,0,0,0,13.46,28.03,0,1.26,15.76,27.31,1.42,4.28,2.47,0.42,5.6,0,0,0,0,0,0,0,0,0
16,point,33,rock,0.99,10.24,0.04,0.25,3.65,5.59,0.15,0.76,0.35,0.05,0.6,0.34,0,0,0,0,0,0,0,0,15.47,32.13,0.11,0.98,15.27,25.29,0.76,3.66,1.73,0.33,3.61,0.66,0,0,0,0,0,0,0,0
16,point,34,rock,1.44,2.7,0,0.14,1.63,2.66,0.61,0.4,0.26,0,0.4,0,0.04,0.03,0,0.03,0,0,0,0,36.1,16.16,0,0.95,11.39,19.95,5.12,3.25,2.13,0,4.1,0,0.23,0.37,0,0.25,0,0,0,0
16,point,35,rock,1.34,5.13,0.04,0.17,1.91,3.73,0.5,0.44,0.99,0.51,0.42,0.16,0.47,0.04,0,0,0,0,0,0,24.59,22.76,0.16,0.83,9.88,20.52,3.09,2.59,6.03,3.8,3.14,0.39,1.92,0.31,0,0,0,0,0,0
16,point,36,rock,0.03,0.25,0.01,0.02,0.77,1.24,0.09,0.39,0.19,0.04,1.13,0,0,0,0,0,0,0,0,0,2.83,4.25,0.2,0.5,16.3,27.85,2.12,8.86,4.4,1.14,31.55,0,0,0,0,0,0,0,0,0
16,point,37,rock,0.47,2.7,0.01,0.07,1.09,1.67,0.27,0.37,0.31,0.04,0.47,0,0,0,0.15,0,0,0,0,0,19.28,24.57,0.11,0.77,12.26,20,3.63,4.72,4.09,0.56,7.47,0,0,0,2.53,0,0,0,0,0
16,point,38,rock,0.42,4.78,0.08,0.13,2.82,3.71,0.29,0.52,1.5,0.04,0.37,0.12,0.55,0,0,0,0,0,0,0,10.37,24.2,0.34,0.73,17.02,24.32,2.13,3.62,10.71,0.3,3.23,0.35,2.69,0,0,0,0,0,0,0
16,point,39,rock,0.21,1.51,0,0.07,0.72,1.03,0.12,0.28,0.35,0,1.02,0,0,0.03,0.17,0,0,0,0,0,11.96,18.86,0,1.15,11.39,17.18,2.12,4.76,6.17,0,21.74,0,0,0.63,4.05,0,0,0,0,0
16,point,40,rock,0.28,3.93,0,0.13,2.4,4.58,0.09,0.63,0.19,0.05,0.56,0,0,0,0,0,0,0,0,0,8.86,22.53,0,0.93,17.37,36.28,0.81,5.31,1.64,0.47,5.8,0,0,0,0,0,0,0,0,0
16,point,41,rock,0.2,1.61,0.02,0.09,1.98,2.73,0.19,0.64,0.28,0.03,0.57,0,0,0,0,0,0,0,0,0,9.34,14.28,0.12,0.92,20.82,31.67,2.44,7.83,3.47,0.49,8.61,0,0,0,0,0,0,0,0,0
16,point,42,rock,0,0.08,0,0.01,0.31,0.54,0.06,0.27,0.13,0.03,0.34,0,0,0.02,0,0,0,0,0,0,0,3.59,0,0.35,15.3,28.44,3.58,14.81,7.21,2.15,22.88,0,0,1.69,0,0,0,0,0,0
16,point,43,rock,0.15,0.12,0,0,0.07,0.1,0.05,0.12,1.48,0,0.16,0,0,0.88,0,0,0,0,0,0,8.79,3.91,0,0,1.71,2.52,1.44,3.04,41.79,0,5.37,0,0,31.42,0,0,0,0,0,0
16,point,44,rock,0.25,0.23,0,0.01,0.3,0.71,0.04,0.32,0.2,0.06,0.37,0,0,1.22,0,0,0,0,0,0,14.86,4.91,0,0.14,6.07,14.82,0.86,6.93,4.63,1.54,9.57,0,0,35.66,0,0,0,0,0,0
16,point,45,rock,0.06,0.75,0,0.05,1.27,1.99,0.14,0.45,0.19,0.09,0.59,0,0,0,0.05,0,0,0,0,0,4.65,9.99,0,0.8,19.97,34.22,2.64,8.05,3.44,1.89,12.99,0,0,0,1.36,0,0,0,0,0
16,point,46,rock,1.85,10.52,0.04,0.22,3.13,4.23,0.54,0.56,0.3,0.05,0.49,0,0.14,0.04,0,0,0,0,0,0,25.22,32.42,0.12,0.84,12.65,18.3,2.62,2.61,1.43,0.26,2.85,0,0.45,0.22,0,0,0,0,0,0
16,point,47,rock,2.28,12.35,0.06,0.25,3.48,5.78,0.45,0.76,0.34,0.08,0.62,0.25,0,0.04,0,0,0,0,0,0,25.52,31.47,0.14,0.78,11.57,20.54,1.78,2.9,1.35,0.38,2.96,0.4,0,0.21,0,0,0,0,0,0
16,point,48,rock,0.07,0.06,0,0.01,0.05,0.1,0.43,0.05,3.76,0,0.11,0,0,0,0.1,0,0,0,0,0,3.72,1.57,0,0.16,0.93,1.93,8.69,0.86,76.9,0,2.77,0,0,0,2.48,0,0,0,0,0
16,point,49,rock,4.85,3.7,0.03,0.06,0.16,0.12,1.12,0.03,2.97,0,0.09,0,0,0,0,0,0,0,0,0,55.3,18.02,0.1,0.28,0.81,0.64,6.43,0.16,17.57,0,0.68,0,0,0,0,0,0,0,0,0
16,point,50,rock,7.86,3.34,0.03,0.07,0.37,0.53,1.36,0.1,0.92,0,0.14,0,0,0.04,0,0,0,0,0,0,71.28,12.42,0.08,0.26,1.5,2.22,6.32,0.46,4.39,0,0.82,0,0,0.24,0,0,0,0,0,0
16,point,51,rock,2.45,2.11,0.04,0.08,1.06,1.66,1.03,0.22,0.27,0.03,0.2,0,0,0,0.23,0,0,0,0,0,51.68,12.61,0.2,0.49,6.97,11.62,8.08,1.7,2.14,0.28,1.91,0,0,0,2.34,0,0,0,0,0
16,point,52,mz84_seds,1.62,5.46,0.03,0.25,2.19,3.72,0.48,0.54,1.1,0.04,0.53,0,0.19,0,0,0,0,0,0,0,27.87,22.82,0.11,1.18,10.95,19.85,2.86,3.08,6.47,0.25,3.82,0,0.73,0,0,0,0,0,0,0
16,point,53,rock,3.13,8.02,0.05,0.18,2.3,3.33,0.86,0.36,0.52,0.06,0.36,0.29,0.21,0,0,0,0,0,0,0,38.46,25.83,0.13,0.68,9.13,14.03,4.05,1.65,2.46,0.35,2.07,0.54,0.63,0,0,0,0,0,0,0
16,point,54,mz84_seds,2.68,2.47,0,0.06,0.71,1.05,0.91,0.11,0.72,0,0.14,0,0,0,0.41,0,0,0,0,0,52.76,15.29,0,0.4,4.8,7.4,7.23,0.86,5.75,0,1.37,0,0,0,4.15,0,0,0,0,0
16,point,55,mz84_seds,0.74,5.33,0,0.13,2.2,6.07,0.17,0.54,0.21,0.02,0.3,0,0,0,0,0,0,0,0,0,17.5,23.93,0,0.7,12.3,36.79,1.16,3.56,1.39,0.19,2.48,0,0,0,0,0,0,0,0,0
16,point,56,mz84_seds,3,9.14,0.02,0.14,1.72,6.41,0.71,0.33,0.15,0.04,0.24,0,0,0.04,0,0,0,0,0,0,36.1,26.28,0.06,0.46,6.11,24.22,3.08,1.38,0.62,0.19,1.26,0,0,0.25,0,0,0,0,0,0
16,point,57,rock,0.58,1.62,0.02,0.06,2.42,2.7,0.39,0.27,0.36,0.04,0.24,0,0,0.37,0,0,0,0,0,0,21.05,12.39,0.12,0.52,20.93,25.75,4.15,2.68,3.75,0.49,3.05,0,0,5.12,0,0,0,0,0,0
16,point,58,mz84_seds,0,0.02,0,0,0.04,0.07,0.01,0.14,0.1,0.03,0.54,0,0,0.02,0,0,0,0,0,0,0,1.29,0,0,3.31,6.43,1.38,12.9,9.37,3.56,59.39,0,0,2.38,0,0,0,0,0,0
16,point,59,mz84_seds,2.91,4.19,0.04,0.14,1.88,2.72,1.36,0.35,0.27,0.03,0.26,0,0,0,0,0,0,0,0,0,45.72,17.33,0.12,0.64,9.01,13.88,7.77,1.97,1.52,0.18,1.86,0,0,0,0,0,0,0,0,0
16,point,60,mz84_seds,2.11,9.83,0,0.22,3.25,5.22,0.3,0.59,0.18,0.06,0.59,0,0,0,0,0,0,0,0,0,27.6,29.16,0,0.8,12.46,21.5,1.38,2.63,0.84,0.34,3.3,0,0,0,0,0,0,0,0,0
16,point,61,mz84_seds,1.1,7.7,0.04,0.16,2.58,5.16,0.47,0.54,0.23,0.03,0.4,0,0,0,0,0,0,0,0,0,20.39,29.06,0.15,0.75,12.51,26.98,2.77,3.04,1.36,0.21,2.8,0,0,0,0,0,0,0,0,0
16,point,62,mz84_seds,2.58,7.32,0.06,0.24,3.64,5.39,0.4,0.82,0.29,0.07,0.47,0,0,0.03,0,0,0,0,0,0,32.63,22.06,0.14,0.84,13.36,21.35,1.78,3.5,1.27,0.36,2.51,0,0,0.2,0,0,0,0,0,0
16,point,63,rock,0.27,3.26,0,0.19,2.48,3.51,0.14,0.58,0.79,0.04,0.76,0.07,0.24,0,0,0,0,0,0.01,0,8.47,19.9,0,1.36,18.46,28.52,1.25,4.95,6.88,0.4,7.99,0.24,1.43,0,0,0,0,0,0.15,0
16,point,64,mz84_seds,0.75,8.02,0.04,0.25,3.67,5.23,0.29,0.71,0.18,0.27,0.48,0,0,0.04,0,0,0,0,0,0,13.84,29.11,0.13,1.11,17.22,26.69,1.64,3.85,1.02,1.82,3.27,0,0,0.31,0,0,0,0,0,0
16,point,65,rock,0.77,5.02,0.05,0.15,2.98,4,0.16,0.45,0.17,0.6,0.48,0,0,0.03,0,0,0,0,0,0,17.43,23.9,0.19,0.81,17.44,25.47,1.17,3.05,1.19,5.02,4.01,0,0,0.31,0,0,0,0,0,0
16,point,66,mz84_seds,2.02,2.63,0.02,0.06,0.89,1.41,1.13,0.16,0.85,0,0.2,0,0.36,0.04,0,0,0,0,0,0,44.99,16.35,0.11,0.37,6.13,10.21,9.22,1.31,6.95,0,2.03,0,1.92,0.41,0,0,0,0,0,0
16,point,67,mz84_seds,0,20.35,0.05,0.05,1.38,12.59,0.08,0.28,0.05,0,0.15,0,0,0.07,0,0,0,0,0,0,0,46.96,0.13,0.15,4.69,45.3,0.32,1.1,0.2,0,0.74,0,0,0.4,0,0,0,0,0,0
16,point,68,mz84_seds,1.48,14.72,0.07,0.27,4.85,5.65,0.22,0.88,0.23,0.03,0.58,0,0,0,0,0,0,0,0,0,17.48,36.29,0.16,0.87,16.36,20.62,0.88,3.44,0.91,0.17,2.82,0,0,0,0,0,0,0,0,0
16,point,69,mz84_seds,0.13,0.6,0,0.26,1.65,4.72,0.14,0.66,0.16,0.1,1.03,0,0,0,0,0,0,0,0,0,6.24,4.67,0,2.27,15.07,46.87,1.55,6.99,1.71,1.32,13.31,0,0,0,0,0,0,0,0,0
16,point,70,rock,0.14,1.17,0,0.05,1.44,2.03,0.21,0.38,0.22,0.04,0.39,0,0,0,0,0,0,0,0,0,9.15,14.3,0,0.63,20.82,32.27,3.75,6.35,3.87,0.75,8.12,0,0,0,0,0,0,0,0,0
16,point,71,rock,4.14,10.13,0.05,0.34,2.21,3.45,1.06,0.44,0.45,0.05,0.67,0,0,0,0,0,0,0,0,0,40.71,27.24,0.11,1.07,7.43,12.22,4.18,1.7,1.8,0.26,3.28,0,0,0,0,0,0,0,0,0
16,point,72,rock,2.07,6.81,0.03,0.16,1.6,2.57,2.76,0.33,0.83,0.03,2.4,0.27,0,0,0,0,0,0,0,0,29.01,21.56,0.07,0.61,6.33,10.62,12.57,1.47,3.78,0.16,13.34,0.47,0,0,0,0,0,0,0,0
16,point,73,rock,3.22,12.2,0.06,0.16,4.33,3.78,0.76,0.47,0.58,0.04,0.4,0.22,0,0.12,0,0.03,0,0,0,0,32.16,30.48,0.12,0.5,13.83,12.99,2.89,1.74,2.2,0.16,1.85,0.34,0,0.61,0,0.13,0,0,0,0
16,point,74,rock,0.73,4.32,0.04,0.12,2.6,3.6,0.52,0.55,0.23,0.04,0.41,0,0,0.07,0,0,0,0,0,0,19.11,22.7,0.18,0.72,16.87,25.47,4.09,4.15,1.76,0.38,3.88,0,0,0.7,0,0,0,0,0,0
16,point,75,rock,0.5,1.87,0.02,0.07,1.25,1.36,1.59,0.22,1.47,0,0.71,0.07,0.59,0,0,0,0,0,0,0,17.76,14.31,0.15,0.53,10.53,12.07,15.65,2.12,14.36,0,8.45,0.28,3.79,0,0,0,0,0,0,0
16,point,76,rock,1.27,17.68,0,0.24,4.13,6.76,0.32,0.49,0.18,0.06,0.56,0,0,0,0,0,0,0,0,0,14.83,40.71,0,0.74,13.43,23.65,1.24,1.84,0.68,0.26,2.63,0,0,0,0,0,0,0,0,0
