spot,location,spectra,mineralogy,C_concentration,O_concentration,F_concentration,Na_concentration,Al_concentration,P_concentration,S_concentration,Ca_concentration,Fe_concentration,Si_concentration,Mg_concentration,K_concentration,Ag_concentration,Ti_concentration,Cl_concentration,Mo_concentration,Au_concentration,In_concentration,C_wtper,O_wtper,F_wtper,Na_wtper,Al_wtper,P_wtper,S_wtper,Ca_wtper,Fe_wtper,Si_wtper,Mg_wtper,K_wtper,Ag_wtper,Ti_wtper,Cl_wtper,Mo_wtper,Au_wtper,In_wtper
16,1,11,phos_seds,1.25,3.08,0.62,0.08,0.19,3.46,0.17,5.89,0,0,0,0,0,0,0,0,0,0,25.36,30.44,3.36,0.37,0.9,10.9,0.82,27.85,0,0,0,0,0,0,0,0,0,0
16,1,12,phos_seds,1.47,3.25,0.64,0.07,0.05,3.28,0.22,5.65,0.12,0,0,0,0,0,0,0,0,0,27.67,30.63,3.34,0.33,0.25,10.02,1.04,26,0.71,0,0,0,0,0,0,0,0,0
16,1,13,phos_seds,1.83,3.35,0.72,0.07,0,3.17,0.12,0,0,0,0,0,0,0,0,0,0,0,31.5,30.67,3.66,0.32,0,9.52,0.57,0,0,0,0,0,0,0,0,0,0,0
16,2,14,phos_seds,1.57,3.57,0.8,0.08,0,3.7,0.18,6.26,0,0,0,0,0,0,0,0,0,0,27.06,31.03,3.89,0.34,0,10.39,0.79,26.49,0,0,0,0,0,0,0,0,0,0
16,2,15,phos_seds,1.99,2.89,0.65,0.05,0,3.33,0.18,5.48,0,0,0,0,0,0,0,0,0,0,34.14,27.39,3.2,0.21,0,9.77,0.83,24.46,0,0,0,0,0,0,0,0,0,0
16,2,16,phos_seds,1.7,3.69,0.75,0.09,0.06,3.45,0.18,5.79,0,0,0,0,0,0,0,0,0,0,28.8,31.61,3.65,0.37,0.27,9.77,0.82,24.7,0,0,0,0,0,0,0,0,0,0
16,3,17,phos_seds,2.06,5.39,1.1,0.1,0.13,3.81,0.18,6.17,0,0.04,0,0,0,0,0,0,0,0,28.12,35.15,4.41,0.36,0.46,8.96,0.65,21.75,0,0.14,0,0,0,0,0,0,0,0
16,3,18,phos_seds,1.81,3.77,0.81,0.09,0,3.69,0.2,6.14,0,0.05,0,0,0,0,0,0,0,0,29.2,30.92,3.72,0.35,0,9.89,0.84,24.87,0,0.2,0,0,0,0,0,0,0,0
16,3,19,phos_seds,2.55,6.48,1.33,0.11,0.08,3.7,0.2,6.17,0,0.04,0,0,0,0,0,0,0,0,29.67,36.6,4.85,0.34,0.27,7.87,0.66,19.63,0,0.12,0,0,0,0,0,0,0,0
16,4,20,dark_seds,3.62,11.11,0,0,1.93,0.15,0.5,0.35,0.3,2.73,0.18,0.31,0.12,0,0,0,0,0,40.39,41.04,0,0,5.32,0.3,1.46,0.98,1.03,7.66,0.52,0.84,0.46,0,0,0,0,0
