spot,location,spectra,mineralogy,C_concentration_apparent,O_concentration_apparent,Mg_concentration_apparent,Al_concentration_apparent,Si_concentration_apparent,S_concentration_apparent,Cl_concentration_apparent,K_concentration_apparent,Ca_concentration_apparent,Ti_concentration_apparent,Fe_concentration_apparent,Ag_concentration_apparent,Na_concentration_apparent,F_concentration_apparent,P_concentration_apparent,Zr_concentration_apparent,Ar_concentration_apparent,W_concentration_apparent,Ir_concentration_apparent,U_concentration_apparent,Mn_concentration_apparent,C_wtper,O_wtper,Mg_wtper,Al_wtper,Si_wtper,S_wtper,Cl_wtper,K_wtper,Ca_wtper,Ti_wtper,Fe_wtper,Ag_wtper,Na_wtper,F_wtper,P_wtper,Zr_wtper,Ar_wtper,W_wtper,Ir_wtper,U_wtper,Mn_wtper
9,point,1,rock,2.86,7.07,0.15,4.01,3.38,0.41,0.04,0.52,0.19,0.04,0.52,0.29,0,0,0,0,0,0,0,0,0,43.15,31.29,0.41,10.14,9.09,1.17,0.1,1.35,0.51,0.12,1.66,1.01,0,0,0,0,0,0,0,0,0
9,point,2,rock,2.84,5.64,0.19,2.03,3.49,0.56,0,0.59,0.29,0.04,0.63,2.25,0.03,0,0,0,0,0,0,0,0,40.6,28.83,0.56,5.59,9.67,1.68,0,1.62,0.83,0.13,2.08,8.32,0.08,0,0,0,0,0,0,0,0
9,point,3,rock,5.82,5.31,0.11,1.31,2.08,1.47,0,0.34,1.08,0.09,0.77,0.07,0.02,0.17,0.39,0,0,0,0,0,0,57.58,24.42,0.25,2.87,4.54,3.49,0,0.76,2.45,0.26,2.13,0.2,0.05,0.4,0.61,0,0,0,0,0,0
9,point,4,rock,1.72,15.38,0.06,0.93,11.62,0.37,0,0.13,0.38,0,0.14,0.1,0,0,0,0,0,0,0,0,0,27.68,44.23,0.14,1.9,23.41,0.9,0,0.28,0.82,0,0.35,0.3,0,0,0,0,0,0,0,0,0
9,point,5,rock,3.75,9.12,0.36,3.23,4.83,0.74,0,0.76,0.47,0.03,1.03,0.09,0.07,0,0,0,0,0,0,0,0,43.6,31.85,0.78,6.54,10.02,1.67,0,1.57,0.97,0.07,2.57,0.24,0.12,0,0,0,0,0,0,0,0
9,point,6,rock,1.8,16.71,0.35,5.85,7.49,0.16,0,1.42,0.16,0.05,0.66,0.76,0.08,0,0,0,0,0,0,0,0,23.99,42.77,0.69,10.85,14.7,0.35,0,2.67,0.31,0.11,1.49,1.95,0.14,0,0,0,0,0,0,0,0
9,point,7,rock,2.15,18.85,0.45,6.11,8.8,0.33,0,1.27,0.38,0.15,0.97,0.05,0.09,0.56,0,0,0,0,0,0,0,25.6,41.85,0.79,9.93,15.04,0.61,0,2.09,0.63,0.3,1.92,0.11,0.13,1,0,0,0,0,0,0,0
9,point,8,rock,0.72,2.13,0.18,2.13,3.49,0.5,0,1.13,0.32,0.37,1.72,0.13,0,0,0.04,0,0,0,0,0,0,29.51,18.92,0.91,10.23,17.54,2.78,0,5.45,1.59,2.17,9.88,0.89,0,0,0.14,0,0,0,0,0,0
9,point,9,rock,12.99,6.11,0.02,0.23,0.09,0.94,0,0,3.94,0,0.08,0.11,0,0,0,0,0,0,0,0,0,63.41,26.23,0.05,0.44,0.16,1.8,0,0,7.46,0,0.19,0.26,0,0,0,0,0,0,0,0,0
9,point,10,rock,9.19,2.92,0.03,0.11,0.08,2.35,0,0.04,0.68,0,0.14,0.07,0.03,0,0,0,0,0,0,0,0,74.36,16.93,0.07,0.26,0.19,5.73,0,0.09,1.66,0,0.42,0.24,0.06,0,0,0,0,0,0,0,0
9,point,11,mz84_seds,11.87,3.94,0.04,0.08,0.09,1.92,0,0.03,2.58,0,0.19,0.08,0.02,0,0,0,0,0,0,0,0,70.44,19.24,0.07,0.17,0.16,3.92,0,0.05,5.24,0,0.47,0.2,0.04,0,0,0,0,0,0,0,0
9,point,12,rock,1.5,13.98,0.14,7.07,4.58,0.16,0,0.57,0.18,0.05,0.38,6.56,0,0,0,0,0,0,0,0,0,16.98,40.52,0.29,13.66,9.38,0.33,0,1.05,0.36,0.1,0.84,16.49,0,0,0,0,0,0,0,0,0
9,point,13,rock,1.18,26.17,0.08,2.07,16.9,0.09,0,0.26,0.13,0,0.15,0.05,0,0,0,0,0,0,0,0,0,17.23,50.62,0.15,3.36,27.39,0.17,0,0.44,0.22,0,0.29,0.12,0,0,0,0,0,0,0,0,0
9,point,14,rock,11.24,3.85,0.05,0.56,0.6,2.49,0,0.08,0.48,0,0.16,0.17,0.03,0,0,0,0,0,0,0,0,73.54,17.42,0.1,1.03,1.09,4.89,0,0.15,0.94,0,0.38,0.43,0.04,0,0,0,0,0,0,0,0
9,point,15,rock,0.43,0.67,0.12,2.9,4.21,0.83,0,0.87,0.34,0.04,0.62,0.05,0,0,0,0.18,0,0,0,0,0,30.16,8.16,0.65,15.5,25.49,5.88,0,5.34,2.1,0.31,4.37,0.42,0,0,0,1.62,0,0,0,0,0
9,point,16,rock,4.03,3.1,0.08,0.85,1.11,2.26,0,0.09,0.45,0.04,0.52,0.03,0,0,0,0,0,0,0,0,0,62.06,20.64,0.25,2.53,3.28,7.27,0,0.29,1.41,0.16,1.98,0.15,0,0,0,0,0,0,0,0,0
9,point,17,mz84_seds,3.51,0.43,0.03,0.5,0.45,2.18,0,0.08,0.62,0,0.14,0.48,0,0,0.12,0.04,0,0,0,0,0,74.36,5.02,0.12,2.03,1.78,9.56,0,0.36,2.72,0,0.75,2.77,0,0,0.32,0.2,0,0,0,0,0
9,point,18,mz84_seds,5.67,1.88,0.02,0.11,0.14,2.81,0,0,0.74,0,0.13,0.07,0,0,0,0,0,0,0,0,0,73.19,14.27,0.07,0.31,0.4,8.69,0,0,2.3,0,0.5,0.28,0,0,0,0,0,0,0,0,0
9,point,19,rock,3.43,9.22,0.24,3.08,5.23,0.79,0,0.63,0.39,0.03,0.49,0.13,0.08,0,0,0,0,0,0,0,0,42.87,33.14,0.53,6.4,11.16,1.84,0,1.35,0.85,0.07,1.27,0.38,0.15,0,0,0,0,0,0,0,0
9,point,20,rock,1.76,10.26,0.19,3.38,4.73,0.55,0,0.57,0.99,0.03,0.44,1.09,0.1,0,0,0,0,0,0,0,0,28.37,39.57,0.52,8.45,12.22,1.54,0,1.43,2.53,0.1,1.34,3.71,0.22,0,0,0,0,0,0,0,0
9,point,21,rock,3.58,8.35,0.12,2.05,3.02,6.83,0,0.34,0.31,0,8.14,0,0,0,0,0,0,0,0,0,0,42.1,22.09,0.22,3.33,4.76,11.29,0,0.53,0.49,0,15.19,0,0,0,0,0,0,0,0,0,0
9,point,22,rock,9.38,6.28,0.08,0.8,1.53,0.16,0,0,0,0,0.17,31.25,0,0,0,0,0,0,0,0,0,29.34,19.04,0.13,1.08,1.92,0.19,0,0,0,0,0.24,48.05,0,0,0,0,0,0,0,0,0
9,point,23,rock,2.59,7.53,0.28,2.98,5.08,0.61,0,0.84,0.89,0.07,0.9,0.05,0.04,0.26,0.19,0,0,0,0,0,0,39.28,30.89,0.69,7.01,12.28,1.61,0,2.01,2.17,0.22,2.62,0.15,0.09,0.65,0.35,0,0,0,0,0,0
9,point,24,rock,11.27,6.33,0.08,0.97,1.35,1.16,0,0.14,0.69,0,0.24,1.21,0,0,0,0,0,0,0,0,0,64.14,24.47,0.16,1.73,2.36,2.17,0,0.25,1.27,0,0.53,2.92,0,0,0,0,0,0,0,0,0
9,point,25,rock,1.03,17.35,0.34,5.91,7.52,0.3,0,0.92,0.36,0.14,0.82,0,0,0,0,0,0,0,0,0,0,18.1,45.75,0.76,12.43,16.97,0.75,0,1.98,0.79,0.37,2.1,0,0,0,0,0,0,0,0,0,0
