spec_type,min_lab,Dataset ID,Index,Area,Row Index,Beginning X,Ending X,FWHM,Center,Height
regional,S_rich,Spot 10_65_1_B,1,175620.8762,511,50.9,51.2,0.100817285,51.0,1736704
regional,S_rich,Spot 10_65_1_G,1,212830.8459,511,50.9,51.2,0.100668119,51.0,2105746.885
regional,S_rich,Spot 10_65_1_R,1,165999.7091,511,50.9,51.2,0.100871981,51.0,1636910.545
point,org_0_20,Spot 10_65_10_B,1,179377.1865,511,50.9,51.2,0.102144403,51.0,1723817.708
point,org_0_20,Spot 10_65_10_G,1,174449.747,511,50.9,51.2,0.103848845,51.0,1627772.541
point,org_0_20,Spot 10_65_10_R,1,197715.6507,511,50.9,51.2,0.100961412,51.0,1941619.38
point,org_0_20,Spot 10_65_11_B,1,188612.608,511,50.9,51.2,0.100855764,51.0,1855455.232
point,org_0_20,Spot 10_65_11_G,1,184828.469,511,50.9,51.2,0.100654761,51.0,1824838.621
point,org_0_20,Spot 10_65_11_R,1,191944.8615,511,50.9,51.2,0.10092674,51.0,1887940.923
point,org_0_20,Spot 10_65_12_B,1,155397.4212,511,50.9,51.2,0.102175979,51.0,1490365.741
point,org_0_20,Spot 10_65_12_G,1,152426.427,511,50.9,51.2,0.100613853,51.0,1508800.719
point,org_0_20,Spot 10_65_12_R,1,178861.7348,511,50.9,51.2,0.101022463,51.0,1754008.449
point,org_20_40,Spot 10_65_13_B,1,224769.0139,511,50.9,51.2,0.100735727,51.0,2221086.416
point,org_20_40,Spot 10_65_13_G,1,176750.0992,511,50.9,51.2,0.100841313,51.0,1742370.647
point,org_20_40,Spot 10_65_13_R,1,53066.91368,511,50.9,51.2,0.10056134,51.0,525322.779
point,org_20_40,Spot 10_65_14_B,1,189814.1013,511,50.9,51.2,0.100789203,51.0,1870397.44
point,org_20_40,Spot 10_65_14_G,1,161091.7161,511,50.9,51.2,0.100628514,51.0,1591044.955
point,org_20_40,Spot 10_65_14_R,1,157286.4,511,50.9,51.2,0.10077731,51.0,1554481.951
point,org_20_40,Spot 10_65_15_B,1,152328.0842,511,50.9,51.2,0.100915535,51.0,1498273.684
point,org_20_40,Spot 10_65_15_G,1,202086.0092,511,50.9,51.2,0.100693483,51.0,1997597.313
point,org_20_40,Spot 10_65_15_R,1,169445.0526,511,50.9,51.2,0.100834061,51.0,1668868.491
point,org_20_40,Spot 10_65_16_B,1,125408.1272,511,50.9,51.2,0.100795553,51.0,1237371.762
point,org_20_40,Spot 10_65_16_G,1,124131.3764,511,50.9,51.2,0.100849909,51.0,1225058.772
point,org_20_40,Spot 10_65_16_R,1,170020.7904,511,50.9,51.2,0.100479713,51.0,1685099.305
point,org_20_40,Spot 10_65_17_B,1,101381.3426,511,50.9,51.2,0.100426751,51.0,1005835.13
point,org_20_40,Spot 10_65_17_G,1,212694.1091,511,50.9,51.2,0.100781931,51.0,2099535.127
point,org_20_40,Spot 10_65_17_R,1,178194.3403,511,50.9,51.2,0.1006714,51.0,1760179.582
point,org_20_40,Spot 10_65_18_B,1,142483.5133,511,50.9,51.2,0.100772524,51.0,1405128.504
point,org_20_40,Spot 10_65_18_G,1,171561.3957,511,50.9,51.2,0.101197615,51.0,1680580.085
point,org_20_40,Spot 10_65_18_R,1,169827.4513,511,50.9,51.2,0.10071081,51.0,1677515.728
point,org_20_40,Spot 10_65_19_B,1,135582.6568,511,50.9,51.2,0.100982545,51.0,1331756.247
point,org_20_40,Spot 10_65_19_G,1,216809.6311,511,50.9,51.2,0.100903904,51.0,2133419.495
point,org_20_40,Spot 10_65_19_R,1,181441.0971,511,50.9,51.2,0.100832298,51.0,1787260.343
point,Ca_rich,Spot 10_65_2_B,1,168875.0829,511,50.9,51.2,0.100455452,51.0,1675164.098
point,Ca_rich,Spot 10_65_2_G,1,186730.7886,511,50.9,51.2,0.100611647,51.0,1848115.2
point,Ca_rich,Spot 10_65_2_R,1,186368,511,50.9,51.2,0.100671451,51.0,1842653.867
point,org_20_40,Spot 10_65_20_B,1,172670.6983,511,50.9,51.2,0.101238869,51.0,1687274.305
point,org_20_40,Spot 10_65_20_G,1,193300.8593,511,50.9,51.2,0.101327856,51.0,1885980.444
point,org_20_40,Spot 10_65_20_R,1,218983.8629,511,50.9,51.2,0.101187519,51.0,2141154.743
point,org_20_40,Spot 10_65_21_B,1,228912.6141,511,50.9,51.2,0.105115101,51.0,2093180.121
point,org_20_40,Spot 10_65_21_G,1,233881.6,511,50.9,51.2,0.102567585,51.0,2232004.923
point,org_20_40,Spot 10_65_21_R,1,189827.2951,511,50.9,51.2,0.101657191,51.0,1842145.584
