spec_type,min_lab,Dataset ID,Index,Area,Row Index,Beginning X,Ending X,FWHM,Center,Height
regional,S_rich,Spot 10_65_1_B,37,156.038095,5464,546.30001,546.60001,0.05,546.4,3120.7619
regional,S_rich,Spot 10_65_1_B,36,13263.23809,2722,271.5,272.4,0.252696078,272.1,39009.52381
regional,S_rich,Spot 10_65_1_B,1,7021.714286,2711,270.9,271.2,0.176666667,271.1,35888.7619
regional,S_rich,Spot 10_65_1_B,35,12639.08571,2572,256.6,257.4,0.418269231,257.1,32768
regional,S_rich,Spot 10_65_1_B,34,20909.10476,2392,238.6,239.4,0.205257836,239.1,85820.95238
regional,S_rich,Spot 10_65_1_B,33,18256.45714,2371,236.4,237.5,0.274810606,237.1,51492.57143
regional,S_rich,Spot 10_65_1_B,32,7957.942856,2312,231,231.3,0.175,231.1,46811.42857
regional,S_rich,Spot 10_65_1_B,31,29101.10476,2051,204.6,205.6,0.232010582,205.1,101424.7619
regional,S_rich,Spot 10_65_1_B,30,23171.65714,1731,172.8,173.5,0.217726293,173.1,95183.2381
regional,S_rich,Spot 10_65_1_B,29,25824.30476,1711,170.8,171.5,0.199084668,171.1,113907.8095
regional,S_rich,Spot 10_65_1_B,28,33782.24762,1611,160.8,161.5,0.190973993,161,148236.1905
regional,S_rich,Spot 10_65_1_B,27,26604.49524,1582,157.8,158.4,0.202666667,158,123270.0952
regional,S_rich,Spot 10_65_1_B,26,51804.64762,1521,151.8,152.2,0.160596026,152.1,285549.7143
regional,S_rich,Spot 10_65_1_B,25,28945.06667,1462,145.8,146.3,0.210416667,146,131072
regional,S_rich,Spot 10_65_1_B,24,34640.45714,1451,144.8,145.2,0.210638298,145,143555.0476
regional,S_rich,Spot 10_65_1_B,23,30193.37143,1371,136.7,137.2,0.221241017,137,132632.381
regional,S_rich,Spot 10_65_1_B,22,35732.72381,1341,133.8,134.2,0.180327869,134,152917.3333
regional,S_rich,Spot 10_65_1_B,21,16071.92381,1332,133.1,133.2,0,133.1,238738.2857
regional,S_rich,Spot 10_65_1_B,20,417167.8476,1330,132.8,133.1,0.10615493,132.9,3652851.81
regional,S_rich,Spot 10_65_1_B,19,61010.89524,1291,128.8,129.3,0.271533273,129.1,226255.2381
regional,S_rich,Spot 10_65_1_B,18,46343.31429,1271,126.8,127.3,0.125736391,127.1,319878.0952
regional,S_rich,Spot 10_65_1_B,17,31519.69524,1231,122.8,123.3,0.167989011,123,173202.2857
regional,S_rich,Spot 10_65_1_B,16,35108.57143,1221,121.8,122.2,0.249242424,122,129511.6191
regional,S_rich,Spot 10_65_1_B,15,27696.7619,1081,107.6,108.4,0.223968254,108.1,109226.6667
regional,S_rich,Spot 10_65_1_B,14,37137.06667,1071,107,107.3,0.149659864,107.1,246540.1905
regional,S_rich,Spot 10_65_1_B,13,90970.20952,1051,104.6,105.3,0.178332676,105.1,496201.1429
regional,S_rich,Spot 10_65_1_B,12,48605.86667,991,98.8,99.3,0.133302873,99,316757.3333
regional,S_rich,Spot 10_65_1_B,11,46655.39048,981,97.7,98.3,0.138774638,98,298032.7619
regional,S_rich,Spot 10_65_1_B,10,45641.14286,871,86.8,87.2,0.110179683,87,382293.3333
regional,S_rich,Spot 10_65_1_B,9,45407.08571,861,85.7,86.3,0.187540816,86,238738.2857
regional,S_rich,Spot 10_65_1_B,8,144491.2762,812,80.6,81.5,0.198659053,81.1,708412.9524
regional,S_rich,Spot 10_65_1_B,7,153931.581,791,78.7,79.6,0.130057247,79.1,1032972.19
regional,S_rich,Spot 10_65_1_B,6,65223.92381,741,73.8,74.2,0.151937984,74,418182.0952
regional,S_rich,Spot 10_65_1_B,5,190132.419,671,66.8,67.2,0.146680373,67.1,1260787.81
regional,S_rich,Spot 10_65_1_B,4,778552.0762,431,42.9,43.2,0.12109952,43.1,5988742.095
regional,S_rich,Spot 10_65_1_B,3,904864.9143,411,40.8,41.2,0.100699085,41,8901973.333
regional,S_rich,Spot 10_65_1_B,2,1016510.171,391,38.9,39.1,0.050311964,39,10066017.52
regional,S_rich,Spot 10_65_1_B,1,43378.59048,381,37.9,38.1,0.05,38,433785.9048
regional,S_rich,Spot 10_65_1_G,37,590.898361,5466,546.30001,546.60001,0.125,546.4,3223.08197
regional,S_rich,Spot 10_65_1_G,36,10206.42623,2721,271.5,272.4,0.338095238,272.1,25784.65574
regional,S_rich,Spot 10_65_1_G,1,7950.268853,2711,270.9,271.2,0.19,271.1,38676.98361
regional,S_rich,Spot 10_65_1_G,35,12516.30164,2571,256.6,257.4,0.3125,257.1,35453.90164
